"Individual","Mode","Choice","Airport","DistSYR","DistALB","DistNYC","DistEWR","SafteyPersonal","SafteyTrainBus","SafteyCarpool","SafteyTaxi","SafteySharedTaxi","SafteyCS","SafteySCS","PrivacyPersonal","PrivacyTrainBus","PrivacyCarpool","PrivacyTaxi","PrivacySharedTaxi","PrivacyCS","PrivacySCS","ConviniencePersonal","ConvinienceTrainBus","ConvinienceCarpool","ConvinienceTaxi","ConvinienceSharedTaxi","ConvinienceCS","ConvinienceSCS","TimePersonal","TimeTrainBus","TimeCarpool","TimeTaxi","TimeSharedTaxi","TimeCS","TimeSCS","flightsYear","daysBreturn","luggage","ownVehicle","incomeB","familySize","ageB","shuttleMaxPersonsB","payUticaSYR","payUticaALB","CostPersonal","CostTrainBus","CostCarpool","CostTaxi","CostSharedTaxi","CostCS","CostSCS","random","Saftey","Privacy","Convinience","Time"
8,"TrainBus",0,2,150,70,70,70,9,9,9,7,7,7,7,10,6,8,6,6,7,7,10,4,8,5,5,6,6,"13000","30000","13000","20000","20000","20000","20000",4,7,2,1,10,5,20,50,20,20,"25","40","25","40","100","100","100",96,9,6,4,"30000"
8,"Taxi",0,2,150,70,70,70,9,9,9,7,7,7,7,10,6,8,6,6,7,7,10,4,8,5,5,6,6,"13000","30000","13000","20000","20000","20000","20000",4,7,2,1,10,5,20,50,20,20,"25","40","25","40","100","100","100",96,7,6,5,"20000"
9,"Carpool",1,2,274,166,5.9,34.7,7,6,8,5,5,7,6,10,4,7,7,6,8,6,9,7,7,7,5,8,6,"01500","02500","01500","04000","04000","02000","02500",2,8,1,0,10,5,20,50,25,35,"","2.75","3","10","7","12","8",45,8,7,7,"01500"
9,"Personal",0,2,274,166,5.9,34.7,7,6,8,5,5,7,6,10,4,7,7,6,8,6,9,7,7,7,5,8,6,"01500","02500","01500","04000","04000","02000","02500",2,8,1,0,10,5,20,50,25,35,"","2.75","3","10","7","12","8",45,7,10,9,"01500"
9,"TrainBus",0,2,274,166,5.9,34.7,7,6,8,5,5,7,6,10,4,7,7,6,8,6,9,7,7,7,5,8,6,"01500","02500","01500","04000","04000","02000","02500",2,8,1,0,10,5,20,50,25,35,"","2.75","3","10","7","12","8",45,6,4,7,"02500"
9,"Taxi",0,2,274,166,5.9,34.7,7,6,8,5,5,7,6,10,4,7,7,6,8,6,9,7,7,7,5,8,6,"01500","02500","01500","04000","04000","02000","02500",2,8,1,0,10,5,20,50,25,35,"","2.75","3","10","7","12","8",45,5,7,7,"04000"
10,"Carpool",0,3,58,94,258,244,5,8,5,6,6,6,5,10,6,7,6,4,6,4,6,6,6,7,7,8,7,"10000","10000","10000","10000","10000","10000","10000",0,3,1,1,10,5,20,5,60,150,"30","50","15","80","60","80","70",40,5,7,6,"10000"
10,"Personal",0,3,58,94,258,244,5,8,5,6,6,6,5,10,6,7,6,4,6,4,6,6,6,7,7,8,7,"10000","10000","10000","10000","10000","10000","10000",0,3,1,1,10,5,20,5,60,150,"30","50","15","80","60","80","70",40,5,10,6,"10000"
10,"TrainBus",1,3,58,94,258,244,5,8,5,6,6,6,5,10,6,7,6,4,6,4,6,6,6,7,7,8,7,"10000","10000","10000","10000","10000","10000","10000",0,3,1,1,10,5,20,5,60,150,"30","50","15","80","60","80","70",40,8,6,6,"10000"
10,"Taxi",0,3,58,94,258,244,5,8,5,6,6,6,5,10,6,7,6,4,6,4,6,6,6,7,7,8,7,"10000","10000","10000","10000","10000","10000","10000",0,3,1,1,10,5,20,5,60,150,"30","50","15","80","60","80","70",40,6,6,7,"10000"
11,"Carpool",1,3,43,78,185,174,8,8,8,8,8,8,8,10,1,2,2,1,6,1,10,10,10,8,8,9,9,"10000","10000","10000","10000","10000","10000","10000",0,0,1,1,10,3,20,50,30,50,"40","30","15","40","20","40","40",44,8,2,10,"10000"
11,"Personal",0,3,43,78,185,174,8,8,8,8,8,8,8,10,1,2,2,1,6,1,10,10,10,8,8,9,9,"10000","10000","10000","10000","10000","10000","10000",0,0,1,1,10,3,20,50,30,50,"40","30","15","40","20","40","40",44,8,10,10,"10000"
11,"TrainBus",0,3,43,78,185,174,8,8,8,8,8,8,8,10,1,2,2,1,6,1,10,10,10,8,8,9,9,"10000","10000","10000","10000","10000","10000","10000",0,0,1,1,10,3,20,50,30,50,"40","30","15","40","20","40","40",44,8,1,10,"10000"
11,"Taxi",0,3,43,78,185,174,8,8,8,8,8,8,8,10,1,2,2,1,6,1,10,10,10,8,8,9,9,"10000","10000","10000","10000","10000","10000","10000",0,0,1,1,10,3,20,50,30,50,"40","30","15","40","20","40","40",44,8,2,8,"10000"
12,"Carpool",0,1,160,20,165,155,8,8,8,6,7,7,8,10,8,4,3,3,3,3,10,10,10,10,9,6,10,"02000","04000","02000","04000","04000","02500","02500",6,5,1,1,10,4,20,50,40,50,"10","20","5","25","6","30","0",89,8,4,10,"02000"
12,"Personal",1,1,160,20,165,155,8,8,8,6,7,7,8,10,8,4,3,3,3,3,10,10,10,10,9,6,10,"02000","04000","02000","04000","04000","02500","02500",6,5,1,1,10,4,20,50,40,50,"10","20","5","25","6","30","0",89,8,10,10,"02000"
12,"TrainBus",0,1,160,20,165,155,8,8,8,6,7,7,8,10,8,4,3,3,3,3,10,10,10,10,9,6,10,"02000","04000","02000","04000","04000","02500","02500",6,5,1,1,10,4,20,50,40,50,"10","20","5","25","6","30","0",89,8,8,10,"04000"
12,"Taxi",0,1,160,20,165,155,8,8,8,6,7,7,8,10,8,4,3,3,3,3,10,10,10,10,9,6,10,"02000","04000","02000","04000","04000","02500","02500",6,5,1,1,10,4,20,50,40,50,"10","20","5","25","6","30","0",89,6,3,10,"04000"
13,"Carpool",1,1,187,54,123,122,6,8,4,3,3,3,3,9,3,3,3,1,3,1,10,7,8,5,2,9,5,"11959","32800","11754","20300","20300","15200","15200",1,10,1,1,10,3,20,50,15,15,"25","43","3","25","12.5","36","18",18,4,3,8,"11754"
13,"Personal",0,1,187,54,123,122,6,8,4,3,3,3,3,9,3,3,3,1,3,1,10,7,8,5,2,9,5,"11959","32800","11754","20300","20300","15200","15200",1,10,1,1,10,3,20,50,15,15,"25","43","3","25","12.5","36","18",18,6,9,10,"11959"
13,"TrainBus",0,1,187,54,123,122,6,8,4,3,3,3,3,9,3,3,3,1,3,1,10,7,8,5,2,9,5,"11959","32800","11754","20300","20300","15200","15200",1,10,1,1,10,3,20,50,15,15,"25","43","3","25","12.5","36","18",18,8,3,7,"32800"
13,"Taxi",0,1,187,54,123,122,6,8,4,3,3,3,3,9,3,3,3,1,3,1,10,7,8,5,2,9,5,"11959","32800","11754","20300","20300","15200","15200",1,10,1,1,10,3,20,50,15,15,"25","43","3","25","12.5","36","18",18,3,3,5,"20300"
14,"Carpool",0,3,57.8,93.8,257,246,10,8,9,8,9,9,9,8,7,8,8,9,9,9,9,9,8,5,5,10,7,"05700","10000","05700","11500","11500","11000","13000",2,7,2,1,10,4,20,10,100,100,"80 ","200 ","80 ","250 ","250 ","200 ","150 ",28,9,8,8,"05700"
14,"Personal",1,3,57.8,93.8,257,246,10,8,9,8,9,9,9,8,7,8,8,9,9,9,9,9,8,5,5,10,7,"05700","10000","05700","11500","11500","11000","13000",2,7,2,1,10,4,20,10,100,100,"80 ","200 ","80 ","250 ","250 ","200 ","150 ",28,10,8,9,"05700"
14,"TrainBus",0,3,57.8,93.8,257,246,10,8,9,8,9,9,9,8,7,8,8,9,9,9,9,9,8,5,5,10,7,"05700","10000","05700","11500","11500","11000","13000",2,7,2,1,10,4,20,10,100,100,"80 ","200 ","80 ","250 ","250 ","200 ","150 ",28,8,7,9,"10000"
14,"Taxi",0,3,57.8,93.8,257,246,10,8,9,8,9,9,9,8,7,8,8,9,9,9,9,9,8,5,5,10,7,"05700","10000","05700","11500","11500","11000","13000",2,7,2,1,10,4,20,10,100,100,"80 ","200 ","80 ","250 ","250 ","200 ","150 ",28,8,8,5,"11500"
15,"Carpool",0,3,60,100,200,200,10,10,10,8,8,10,10,10,1,2,5,1,2,2,10,1,4,5,4,3,5,"10000","20000","13000","14500","20000","20000","20000",0,0,0,1,10,1,40,50,10,15,"10","50","20","100","100","190","95",61,10,2,4,"13000"
15,"Personal",1,3,60,100,200,200,10,10,10,8,8,10,10,10,1,2,5,1,2,2,10,1,4,5,4,3,5,"10000","20000","13000","14500","20000","20000","20000",0,0,0,1,10,1,40,50,10,15,"10","50","20","100","100","190","95",61,10,10,10,"10000"
15,"TrainBus",0,3,60,100,200,200,10,10,10,8,8,10,10,10,1,2,5,1,2,2,10,1,4,5,4,3,5,"10000","20000","13000","14500","20000","20000","20000",0,0,0,1,10,1,40,50,10,15,"10","50","20","100","100","190","95",61,10,1,1,"20000"
15,"Taxi",0,3,60,100,200,200,10,10,10,8,8,10,10,10,1,2,5,1,2,2,10,1,4,5,4,3,5,"10000","20000","13000","14500","20000","20000","20000",0,0,0,1,10,1,40,50,10,15,"10","50","20","100","100","190","95",61,8,5,5,"14500"
