Individual,WhatMode,Airport,DistSYR,DistALB,DistNYC,DistEWR,SafteyPersonal,SafteyTrainBus,SafteyCarpool,SafteyTaxi,SafteySharedTaxi,SafteyCS,SafteySCS,PrivacyPersonal,PrivacyTrainBus,PrivacyCarpool,PrivacyTaxi,PrivacySharedTaxi,PrivacyCS,PrivacySCS,ConviniencePersonal,ConvinienceTrainBus,ConvinienceCarpool,ConvinienceTaxi,ConvinienceSharedTaxi,ConvinienceCS,ConvinienceSCS,TimePersonal,TimeTrainBus,TimeCarpool,TimeTaxi,TimeSharedTaxi,TimeCS,TimeSCS,flightsYear,daysBreturn,luggage,ownVehicle,incomeB,familySize,ageB,shuttleMaxPersonsB,payUticaSYR,payUticaALB,CostPersonal,CostTrainBus,CostCarpool,CostTaxi,CostSharedTaxi,CostCS,CostSCS
33,Carpool,NYC,200,150,125,110,8,5,9,7,7,7,7,10,1,10,1,1,1,1,10,1,10,1,1,7,7,0:20:00,2:00:00,0:20:00,0:20:00,0:20:00,0:20:00,0:20:00,2,14,1,Yes,"< $10,000",4,18-24,10 passengers,5,5,2,10,2,10,10,15,15
34,Carpool,NYC,54,87,230.5,244.5,10,7,9,5,7,6,7,10,1,3,1,2,2,2,9,8,10,7,8,7,8,4:10:06,12:25:45,5:25:16,4:23:35,4:36:05,3:54:06,4:24:46,8,14,2,No,"< $10,000",5,18-24,5 passengers,24,20,20,15,11,45,25,52,13
35,Personal,SYR,60,170,340,315,5,8,4,4,4,4,4,10,4,6,4,4,4,4,10,6,6,5,5,5,5,1:30:00,1:30:00,2:00:00,1:30:00,1:30:00,1:30:00,1:30:00,10,10,1,Yes,"< $10,000",4,18-24,10 passengers,30,40,30,20,0,150,75,100,50
36,Personal,ALB,53,97,253,247,6,8,5,5,5,4,4,6,5,5,7,6,5,6,10,7,9,5,2,7,7,1:30:00,1:45:00,1:30:00,1:45:00,1:45:00,1:35:00,1:40:00,0,7,2,Yes,"< $10,000",4,18-24,10 passengers,20,30,20,50,20,60,60,100,100
37,Personal,SYR,55,90,250,240,10,6,10,6,10,10,10,7,6,6,6,5,4,5,10,7,6,3,3,10,8,0:45:00,1:30:00,0:45:00,0:45:00,0:45:00,0:45:00,0:45:00,0,7,2,Yes,"< $10,000",2,18-24,15 passengers,20,80,20,100,0,150,100,200,180
38,Carpool,SYR,100,100,300,300,7,8,8,5,5,7,7,5,4,5,3,3,4,5,8,6,9,3,3,4,3,1:00:00,2:00:00,1:00:00,1:00:00,1:00:00,1:00:00,2:00:00,20,7,1,Yes,"< $10,000",3,<18,5 passengers,20,20,100,40,20,80,40,200,50
39,Carpool,NYC,265,174,25,14,9,9,10,8,7,9,9,9,8,9,8,6,8,8,10,8,10,9,7,9,9,0:25:00,2:12:00,0:22:00,0:30:00,0:45:00,0:30:00,0:45:00,0,0,0,Yes,"< $10,000",5,18-24,10 passengers,50,60,50,20,0,30,20,30,20
40,Personal,NYC,58,94,250,245,8,7,8,6,6,7,6,10,2,8,7,5,7,5,10,4,9,6,5,8,6,1:10:00,2:40:00,1:30:00,1:30:00,2:00:00,1:20:00,1:50:00,2.5,30,3,No,"< $10,000",2,18-24,5 passengers,20,20,20,6,10,50,20,70,40
41,Taxi,NYC,268,160,11,33,10,6,10,5,4,5,5,10,3,7,4,3,4,4,8,8,10,9,9,10,10,0:40:00,1:00:00,0:40:00,0:40:00,0:40:00,0:40:00,0:50:00,7,21,1,No,"< $10,000",5,<18,5 passengers,60,70,0$,5$,0$,60$,50$,70$,60$
42,Personal,SYR,44,77,188,178,10,10,10,10,10,10,10,10,1,1,1,1,1,1,10,1,1,1,1,1,1,2:00:00,5:00:00,2:00:00,2:30:00,2:30:00,2:30:00,2:30:00,4,8,2,Yes,"< $10,000",4,18-24,20+ passengers,0,0,12 dollars,30 dollars,5 dollars,50 dollars,10 dollars,75 dollars,15 dollars
43,Taxi,ALB,55,20,150,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0:55:00,2:00:00,0:55:00,1:00:00,1:15:00,0:55:00,1:30:00,5,7,4,Yes,"< $10,000",3,18-24,20 pasengers,25,10,3,5,0,10,2,15,5
44,Personal,ALB,53,100,246,,10,4,8,1,1,1,1,10,1,4,1,1,1,1,10,1,1,1,1,1,1,1:38:00,2:00:00,1:38:00,2:40:00,2:00:00,2:02:00,2:22:00,1,3,1,Yes,"< $10,000",3,18-24,15 passengers,10,10,30,14,0,25,25,45,45
45,Carpool,NYC,313,212,52,72,8,8,8,9,9,9,9,8,8,7,8,7,8,8,9,7,9,8,8,8,8,1:00:00,1:30:00,1:00:00,1:00:00,1:00:00,1:00:00,1:00:00,1,5,1,Yes,"< $10,000",3,18-24,10 passengers,40,60,15,25,15,50,50,50,50
46,Taxi,SYR,50,95,260,245,8,8,6,7,7,7,7,10,4,4,4,4,4,4,10,3,5,5,5,5,5,1:00:00,1:00:00,1:00:00,1:00:00,1:00:00,1:00:00,1:00:00,3,7,1,No,"< $10,000",3,25-31,20+ passengers,30,45,20,30,35,70,35,100,50
47,Personal,SYR,51,96,260,247,5,9,5,4,3,4,3,10,2,9,4,4,4,4,7,5,7,4,4,10,10,1:00:00,2:00:00,1:00:00,1:00:00,1:00:00,1:00:00,1:00:00,4,6,1,Yes,"$38,000 - $92,000",2,18-24,10 passengers,20,30,15,60,0,50,50,60,60
48,Taxi,SYR,56,96,255,268,10,8,6,5,4,2,1,10,9,9,4,3,2,1,10,4,8,8,5,2,1,1:05:00,4:30:00,2:10:00,12:00:00,12:00:00,12:00:00,12:00:00,1,3,1,Yes,"$10,000 - $38,000",2,39-50,5 passengers,,,$8-$10 depending on gas costs and vehicle used,25,0-$10 depending on person giving me the ride,,,,
49,Personal,SYR,60,100,260,260,10,10,7,7,7,6,6,10,5,7,6,5,5,5,7,7,5,7,3,7,5,1:10:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,3,5,1,Yes,"$38,000 - $92,000",5,51-65,20+ passengers,50,60,60,n/a,n/a,n/a,n/a,n/a,n/a
50,Taxi,SYR,50,100,230,,10,8,8,2,2,6,5,10,2,10,2,1,8,5,8,9,9,1,1,10,3,1:00:00,2:00:00,1:00:00,1:00:00,1:30:00,1:00:00,1:30:00,20,10,1,Yes,"$92,000 - $192,000",5,39-50,5 passengers,50,75,60,80,30,do not know,do not know,do not know,do not know
51,Personal,SYR,52,80,250,240,10,9,10,9,9,9,9,10,5,10,7,5,7,5,10,7,9,8,7,8,7,1:00:00,1:30:00,1:10:00,1:30:00,1:45:00,1:30:00,1:45:00,10,10,1,Yes,"$38,000 - $92,000",2,25-31,10 passengers,25,40,$40 (gas and tolls),N/A - Is there a bus that goes to Syracuse airport from Utica?,$40 (gas and tolls; usually I have family or friends drive my car so),No idea have never used this,,,
52,Personal,SYR,46,100,246,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,7,7,7,6,7,7,0:50:00,1:30:00,0:50:00,0:50:00,0:50:00,0:50:00,0:50:00,,3,1,Yes,"$38,000 - $92,000",1,25-31,15 passengers,15,30,15,50,25,50,40,60,50
53,Personal,SYR,55,94,245,,8,9,8,8,8,8,8,10,7,8,7,7,7,7,10,4,7,8,8,7,9,1:00:00,1:13:00,1:00:00,1:00:00,1:00:00,1:00:00,1:00:00,15,14,1,Yes,"$38,000 - $92,000",4,31-38,10 passengers,15,20,15,N/A,10,90,45,N/A,N/A
54,Personal,SYR,48,101,250,,4,7,5,6,4,5,5,10,5,7,10,4,3,3,9,5,5,4,4,4,4,0:50:00,1:30:00,0:50:00,0:50:00,0:50:00,0:50:00,0:50:00,5,5,2,Yes,"$38,000 - $92,000",1,25-31,10 passengers,40,60,26,not applicable,$6-$13,80,$20-$60,80,$20-$60
