"Individual","Mode","Choice","DistEWR","DistSYR","DistNYC","DistALB","flightsYear","daysBreturn","luggage","ownVehicle","incomeB","familySize","ageB","shuttleMaxPersonsB","payUticaSYR","payUticaALB","Cost","Time","Convinience","Privacy","Saftey","Airport"
50,"Taxi",1,NA,50,230,100,20,10,1,1,100,5,40,5,50,75,NA,10000,1,2,2,3
51,"Carpool",0,240,52,250,80,10,10,1,1,40,2,25,10,25,40,40,11000,9,10,10,3
51,"Personal",1,240,52,250,80,10,10,1,1,40,2,25,10,25,40,40,10000,10,10,10,3
51,"TrainBus",0,240,52,250,80,10,10,1,1,40,2,25,10,25,40,NA,13000,7,5,9,3
51,"Taxi",0,240,52,250,80,10,10,1,1,40,2,25,10,25,40,NA,13000,8,7,9,3
52,"Carpool",0,NA,46,246,100,NA,3,1,1,40,1,25,15,15,30,25,5000,7,10,10,3
52,"Personal",1,NA,46,246,100,NA,3,1,1,40,1,25,15,15,30,15,5000,10,10,10,3
52,"TrainBus",0,NA,46,246,100,NA,3,1,1,40,1,25,15,15,30,50,13000,7,10,10,3
52,"Taxi",0,NA,46,246,100,NA,3,1,1,40,1,25,15,15,30,50,5000,7,10,10,3
53,"Carpool",0,NA,55,245,94,15,14,1,1,40,4,NA,10,15,20,10,10000,7,8,8,3
53,"Personal",1,NA,55,245,94,15,14,1,1,40,4,NA,10,15,20,15,10000,10,10,8,3
53,"TrainBus",0,NA,55,245,94,15,14,1,1,40,4,NA,10,15,20,NA,11300,4,7,9,3
53,"Taxi",0,NA,55,245,94,15,14,1,1,40,4,NA,10,15,20,90,10000,8,7,8,3
54,"Carpool",0,NA,48,250,101,5,5,2,1,40,1,25,10,40,60,613,5000,5,7,5,3
54,"Personal",1,NA,48,250,101,5,5,2,1,40,1,25,10,40,60,26,5000,9,10,4,3
54,"TrainBus",0,NA,48,250,101,5,5,2,1,40,1,25,10,40,60,NA,13000,5,5,7,3
54,"Taxi",0,NA,48,250,101,5,5,2,1,40,1,25,10,40,60,80,5000,4,10,6,3
55,"Carpool",0,NA,57,256,93.2,6,30,1,0,10,5,20,15,14,14,0,10000,9,9,8,3
55,"Personal",0,NA,57,256,93.2,6,30,1,0,10,5,20,15,14,14,13,10000,10,10,10,3
55,"TrainBus",0,NA,57,256,93.2,6,30,1,0,10,5,20,15,14,14,20,20000,7,9,10,3
55,"Taxi",1,NA,57,256,93.2,6,30,1,0,10,5,20,15,14,14,60,10000,8,9,9,3
56,"Carpool",1,NA,60,340,90,6,30,3,1,10,6,20,5,60,90,40,40000,9,8,8,2
56,"Personal",0,NA,60,340,90,6,30,3,1,10,6,20,5,60,90,60,40000,10,10,8,2
56,"TrainBus",0,NA,60,340,90,6,30,3,1,10,6,20,5,60,90,100,60000,6,10,10,2
56,"Taxi",0,NA,60,340,90,6,30,3,1,10,6,20,5,60,90,150,40000,7,7,8,2
57,"Carpool",1,NA,54,255,90,1,NA,2,0,10,5,20,5,20,40,200,60000,10,3,10,2
57,"Personal",0,NA,54,255,90,1,NA,2,0,10,5,20,5,20,40,200,60000,10,10,10,2
57,"TrainBus",0,NA,54,255,90,1,NA,2,0,10,5,20,5,20,40,200,60000,4,3,10,2
57,"Taxi",0,NA,54,255,90,1,NA,2,0,10,5,20,5,20,40,200,60000,8,3,10,2
58,"Carpool",0,NA,55,233,130,4,40,3,0,10,4,20,5,25,37,22.5,34500,8,8,7,2
58,"Personal",0,NA,55,233,130,4,40,3,0,10,4,20,5,25,37,70,34500,9,10,9,2
58,"TrainBus",0,NA,55,233,130,4,40,3,0,10,4,20,5,25,37,70,43000,7,6,7,2
58,"Taxi",1,NA,55,233,130,4,40,3,0,10,4,20,5,25,37,NA,41500,7,7,6,2
59,"Carpool",1,NA,58,257,94.2,12,4,3,0,10,5,20,10,20,30,30,43000,10,10,10,3
59,"Personal",0,NA,58,257,94.2,12,4,3,0,10,5,20,10,20,30,40,43000,10,10,10,3
59,"TrainBus",0,NA,58,257,94.2,12,4,3,0,10,5,20,10,20,30,80,53000,10,10,10,3
59,"Taxi",0,NA,58,257,94.2,12,4,3,0,10,5,20,10,20,30,200,40000,10,10,10,3
60,"Carpool",1,NA,50,250,100,2,30,2,0,10,1,20,5,20,40,100,50000,10,9,9,2
60,"Personal",0,NA,50,250,100,2,30,2,0,10,1,20,5,20,40,200,50000,10,10,7,2
60,"TrainBus",0,NA,50,250,100,2,30,2,0,10,1,20,5,20,40,150,80000,6,9,8,2
60,"Taxi",0,NA,50,250,100,2,30,2,0,10,1,20,5,20,40,300,60000,10,6,6,2
61,"Carpool",0,NA,40,170,110,6,18,2,0,10,3,20,15,35,70,40,50000,7,8,8,2
61,"Personal",1,NA,40,170,110,6,18,2,0,10,3,20,15,35,70,70,40000,9,10,10,2
61,"TrainBus",0,NA,40,170,110,6,18,2,0,10,3,20,15,35,70,60,50000,5,6,7,2
61,"Taxi",0,NA,40,170,110,6,18,2,0,10,3,20,15,35,70,400,33000,2,2,2,2
62,"Carpool",0,NA,60,250,100,3,30,2,0,10,1,20,5,30,45,20,34010,5,3,9,2
62,"Personal",0,NA,60,250,100,3,30,2,0,10,1,20,5,30,45,30,33030,10,10,10,2
62,"TrainBus",0,NA,60,250,100,3,30,2,0,10,1,20,5,30,45,70,60001,1,1,10,2
62,"Taxi",1,NA,60,250,100,3,30,2,0,10,1,20,5,30,45,300,41030,5,7,8,2
63,"Carpool",0,NA,57.7,257.1,94,12,30,2,0,10,5,20,15,45,80,0,5700,8,7,9,3
63,"Personal",0,NA,57.7,257.1,94,12,30,2,0,10,5,20,15,45,80,10,5000,9,9,8,3
63,"TrainBus",0,NA,57.7,257.1,94,12,30,2,0,10,5,20,15,45,80,20,10000,7,5,8,3
63,"Taxi",1,NA,57.7,257.1,94,12,30,2,0,10,5,20,15,45,80,70,10000,7,7,7,3
64,"Carpool",0,NA,50,262,97,5,3,1,1,40,2,40,5,NA,NA,40,10000,8,5,9,3
64,"Personal",1,NA,50,262,97,5,3,1,1,40,2,40,5,NA,NA,60,10000,10,10,9,3
64,"TrainBus",0,NA,50,262,97,5,3,1,1,40,2,40,5,NA,NA,80,12000,3,5,9,3
64,"Taxi",0,NA,50,262,97,5,3,1,1,40,2,40,5,NA,NA,60,11000,8,5,9,3
65,"Carpool",0,NA,60,270,120,2,5,2,1,40,1,40,10,20,40,10,10000,7,6,8,3
65,"Personal",1,NA,60,270,120,2,5,2,1,40,1,40,10,20,40,25,10000,9,10,9,3
65,"TrainBus",0,NA,60,270,120,2,5,2,1,40,1,40,10,20,40,20,10000,7,5,7,3
65,"Taxi",0,NA,60,270,120,2,5,2,1,40,1,40,10,20,40,75,10000,7,7,6,3
66,"Carpool",0,NA,10,200,10,10,6,1,1,10,2,25,10,20,30,50,30000,9,8,9,2
66,"Personal",0,NA,10,200,10,10,6,1,1,10,2,25,10,20,30,100,33000,8,10,3,2
